,1. open,2. high,3. low,4. close,5. volume,day,day_of_month,month
2020-08-31,0.5081,0.5081,0.5081,0.5081,0,1,31,8
2020-08-28,0.5081,0.5081,0.5081,0.5081,0,5,28,8
2020-08-27,0.5081,0.5081,0.5081,0.5081,0,4,27,8
2020-08-26,0.5081,0.5081,0.5081,0.5081,0,3,26,8
2020-08-25,0.5081,0.5081,0.5081,0.5081,0,2,25,8
2020-08-24,0.5081,0.5081,0.5081,0.5081,0,1,24,8
2020-08-21,0.5081,0.5081,0.5081,0.5081,0,5,21,8
2020-08-20,0.5081,0.5081,0.5081,0.5081,0,4,20,8
2020-08-19,0.5081,0.5081,0.5081,0.5081,0,3,19,8
2020-08-18,0.5081,0.5081,0.5081,0.5081,0,2,18,8
2020-08-17,0.5081,0.5081,0.5081,0.5081,0,1,17,8
2020-08-14,0.5081,0.5081,0.5081,0.5081,0,5,14,8
2020-08-13,0.5081,0.5081,0.5081,0.5081,0,4,13,8
2020-08-12,0.5081,0.5081,0.5081,0.5081,0,3,12,8
2020-08-11,0.5081,0.5081,0.5081,0.5081,0,2,11,8
2020-08-10,0.5081,0.5081,0.5081,0.5081,0,1,10,8
2020-08-07,0.5081,0.5081,0.5081,0.5081,0,5,7,8
2020-08-06,0.5081,0.5081,0.5081,0.5081,0,4,6,8
2020-08-05,0.5081,0.5081,0.5081,0.5081,0,3,5,8
2020-08-04,0.5081,0.5081,0.5081,0.5081,0,2,4,8
2020-08-03,0.5081,0.5081,0.5081,0.5081,0,1,3,8
2020-07-31,0.5081,0.5081,0.5081,0.5081,11000,5,31,7
2020-07-30,0.55,0.55,0.55,0.55,0,4,30,7
2020-07-29,0.55,0.55,0.55,0.55,0,3,29,7
2020-07-28,0.55,0.55,0.55,0.55,0,2,28,7
2020-07-27,0.55,0.55,0.55,0.55,0,1,27,7
2020-07-24,0.55,0.55,0.55,0.55,0,5,24,7
2020-07-23,0.555,0.555,0.55,0.55,21000,4,23,7
2020-07-22,0.555,0.555,0.555,0.555,0,3,22,7
2020-07-21,0.56,0.56,0.56,0.56,0,2,21,7
2020-07-20,0.56,0.56,0.56,0.56,0,1,20,7
2020-07-17,0.56,0.56,0.56,0.56,0,5,17,7
2020-07-16,0.56,0.56,0.56,0.56,0,4,16,7
2020-07-15,0.56,0.56,0.56,0.56,0,3,15,7
2020-07-14,0.56,0.56,0.56,0.56,0,2,14,7
2020-07-13,0.56,0.56,0.56,0.56,0,1,13,7
2020-07-10,0.5625,0.5625,0.54,0.555,20200,5,10,7
2020-07-09,0.54,0.54,0.54,0.54,0,4,9,7
2020-07-08,0.54,0.54,0.54,0.54,0,3,8,7
2020-07-07,0.54,0.54,0.54,0.54,0,2,7,7
2020-07-06,0.54,0.54,0.54,0.54,0,1,6,7
2020-07-02,0.54,0.54,0.54,0.54,0,4,2,7
2020-07-01,0.54,0.54,0.54,0.54,0,3,1,7
2020-06-30,0.54,0.54,0.54,0.54,0,2,30,6
2020-06-29,0.54,0.54,0.54,0.54,0,1,29,6
2020-06-26,0.54,0.54,0.54,0.54,5000,5,26,6
2020-06-25,0.55,0.55,0.55,0.55,0,4,25,6
2020-06-24,0.55,0.55,0.55,0.55,0,3,24,6
2020-06-23,0.55,0.55,0.55,0.55,0,2,23,6
2020-06-22,0.55,0.55,0.55,0.55,5000,1,22,6
2020-06-19,0.58,0.58,0.58,0.58,0,5,19,6
2020-06-18,0.58,0.58,0.58,0.58,0,4,18,6
2020-06-17,0.58,0.58,0.58,0.58,0,3,17,6
2020-06-16,0.58,0.58,0.58,0.58,0,2,16,6
2020-06-15,0.58,0.58,0.58,0.58,0,1,15,6
2020-06-12,0.58,0.58,0.58,0.58,0,5,12,6
2020-06-11,0.58,0.58,0.58,0.58,0,4,11,6
2020-06-10,0.58,0.58,0.58,0.58,0,3,10,6
2020-06-09,0.58,0.58,0.58,0.58,0,2,9,6
2020-06-08,0.5845,0.5845,0.5845,0.5845,12000,1,8,6
2020-06-05,0.54,0.54,0.54,0.54,0,5,5,6
2020-06-04,0.54,0.54,0.54,0.54,0,4,4,6
2020-06-03,0.54,0.54,0.54,0.54,0,3,3,6
2020-06-02,0.54,0.54,0.54,0.54,0,2,2,6
2020-06-01,0.54,0.54,0.54,0.54,0,1,1,6
2020-05-29,0.54,0.54,0.54,0.54,1600,5,29,5
2020-05-28,0.53,0.53,0.53,0.53,0,4,28,5
2020-05-27,0.53,0.53,0.53,0.53,0,3,27,5
2020-05-26,0.53,0.53,0.53,0.53,0,2,26,5
2020-05-22,0.53,0.53,0.53,0.53,1600,5,22,5
2020-05-21,0.53,0.53,0.53,0.53,0,4,21,5
2020-05-20,0.53,0.53,0.53,0.53,0,3,20,5
2020-05-19,0.5275,0.5275,0.5275,0.5275,8000,2,19,5
2020-05-18,0.51,0.51,0.51,0.51,0,1,18,5
2020-05-15,0.51,0.51,0.51,0.51,0,5,15,5
2020-05-14,0.51,0.51,0.51,0.51,20000,4,14,5
2020-05-13,0.52,0.52,0.52,0.52,0,3,13,5
2020-05-12,0.52,0.52,0.52,0.52,0,2,12,5
2020-05-11,0.52,0.52,0.52,0.52,0,1,11,5
2020-05-08,0.5241,0.5241,0.5241,0.5241,1500,5,8,5
2020-05-07,0.49,0.49,0.49,0.49,0,4,7,5
2020-05-06,0.49,0.49,0.49,0.49,0,3,6,5
2020-05-05,0.49,0.49,0.49,0.49,0,2,5,5
2020-05-04,0.49,0.49,0.49,0.49,0,1,4,5
2020-05-01,0.49,0.49,0.49,0.49,0,5,1,5
2020-04-30,0.49,0.49,0.49,0.49,0,4,30,4
2020-04-29,0.49,0.49,0.49,0.49,0,3,29,4
2020-04-28,0.49,0.49,0.49,0.49,0,2,28,4
2020-04-27,0.49,0.49,0.49,0.49,0,1,27,4
2020-04-24,0.49,0.49,0.49,0.49,0,5,24,4
2020-04-23,0.49,0.49,0.49,0.49,0,4,23,4
2020-04-22,0.4875,0.4875,0.4875,0.4875,6000,3,22,4
2020-04-21,0.46,0.46,0.46,0.46,0,2,21,4
2020-04-20,0.46,0.46,0.46,0.46,0,1,20,4
2020-04-17,0.46,0.46,0.46,0.46,0,5,17,4
2020-04-16,0.46,0.46,0.46,0.46,0,4,16,4
2020-04-15,0.46,0.46,0.46,0.46,0,3,15,4
2020-04-14,0.46,0.46,0.46,0.46,0,2,14,4
2020-04-13,0.46,0.46,0.46,0.46,0,1,13,4
2020-04-09,0.46,0.46,0.46,0.46,300,4,9,4
2020-04-08,0.46,0.46,0.46,0.46,0,3,8,4
2020-04-07,0.46,0.46,0.46,0.46,0,2,7,4
2020-04-06,0.46,0.46,0.46,0.46,300,1,6,4
2020-04-03,0.44,0.44,0.44,0.44,0,5,3,4
2020-04-02,0.44,0.44,0.44,0.44,25,4,2,4
2020-04-01,0.44,0.44,0.44,0.44,0,3,1,4
2020-03-31,0.44,0.44,0.44,0.44,0,2,31,3
2020-03-30,0.44,0.44,0.44,0.44,0,1,30,3
2020-03-27,0.44,0.44,0.44,0.44,5000,5,27,3
2020-03-26,0.43,0.43,0.43,0.43,0,4,26,3
2020-03-25,0.43,0.43,0.43,0.43,0,3,25,3
2020-03-24,0.43,0.43,0.43,0.43,0,2,24,3
2020-03-23,0.43,0.43,0.43,0.43,1500,1,23,3
2020-03-20,0.4,0.4,0.4,0.4,0,5,20,3
2020-03-19,0.4,0.4,0.4,0.4,15000,4,19,3
2020-03-18,0.4,0.4,0.4,0.4,10000,3,18,3
2020-03-17,0.43,0.43,0.43,0.43,30000,2,17,3
2020-03-16,0.42,0.42,0.42,0.42,6000,1,16,3
2020-03-13,0.55,0.55,0.55,0.55,0,5,13,3
2020-03-12,0.55,0.55,0.55,0.55,0,4,12,3
2020-03-11,0.55,0.55,0.55,0.55,0,3,11,3
2020-03-10,0.55,0.55,0.55,0.55,0,2,10,3
2020-03-09,0.55,0.55,0.55,0.55,0,1,9,3
2020-03-06,0.55,0.55,0.55,0.55,0,5,6,3
2020-03-05,0.55,0.55,0.55,0.55,0,4,5,3
2020-03-04,0.55,0.55,0.55,0.55,0,3,4,3
2020-03-03,0.55,0.55,0.55,0.55,0,2,3,3
2020-03-02,0.55,0.55,0.55,0.55,0,1,2,3
2020-02-28,0.553,0.553,0.553,0.553,2000,5,28,2
2020-02-27,0.61,0.61,0.61,0.61,0,4,27,2
2020-02-26,0.61,0.61,0.61,0.61,0,3,26,2
2020-02-25,0.61,0.61,0.61,0.61,0,2,25,2
2020-02-24,0.61,0.61,0.61,0.61,0,1,24,2
2020-02-21,0.61,0.61,0.61,0.61,0,5,21,2
2020-02-20,0.61,0.61,0.61,0.61,0,4,20,2
2020-02-19,0.61,0.61,0.61,0.61,0,3,19,2
2020-02-18,0.61,0.61,0.61,0.61,0,2,18,2
2020-02-14,0.61,0.61,0.61,0.61,0,5,14,2
2020-02-13,0.61,0.61,0.61,0.61,0,4,13,2
2020-02-12,0.61,0.61,0.61,0.61,0,3,12,2
2020-02-11,0.61,0.61,0.61,0.61,4050,2,11,2
2020-02-10,0.68,0.68,0.68,0.68,0,1,10,2
2020-02-07,0.68,0.68,0.68,0.68,0,5,7,2
2020-02-06,0.68,0.68,0.68,0.68,0,4,6,2
2020-02-04,0.68,0.68,0.68,0.68,0,2,4,2
2020-02-03,0.68,0.68,0.68,0.68,0,1,3,2
2020-01-31,0.68,0.68,0.68,0.68,0,5,31,1
2020-01-29,0.68,0.68,0.68,0.68,0,3,29,1
2020-01-28,0.68,0.68,0.68,0.68,0,2,28,1
2020-01-27,0.68,0.68,0.68,0.68,0,1,27,1
2020-01-24,0.68,0.68,0.68,0.68,0,5,24,1
2020-01-23,0.68,0.68,0.68,0.68,0,4,23,1
2020-01-22,0.68,0.68,0.68,0.68,0,3,22,1
2020-01-21,0.68,0.68,0.68,0.68,0,2,21,1
2020-01-17,0.68,0.68,0.68,0.68,0,5,17,1
2020-01-16,0.68,0.68,0.68,0.68,0,4,16,1
2020-01-15,0.68,0.68,0.68,0.68,0,3,15,1
2020-01-14,0.68,0.68,0.68,0.68,0,2,14,1
2020-01-13,0.68,0.68,0.68,0.68,0,1,13,1
2020-01-10,0.68,0.68,0.68,0.68,0,5,10,1
2020-01-09,0.68,0.68,0.68,0.68,0,4,9,1
2020-01-08,0.68,0.68,0.68,0.68,0,3,8,1
2020-01-07,0.68,0.68,0.68,0.68,0,2,7,1
2020-01-06,0.68,0.68,0.68,0.68,0,1,6,1
2020-01-03,0.68,0.68,0.68,0.68,0,5,3,1
2020-01-02,0.68,0.68,0.68,0.68,0,4,2,1
2019-12-31,0.68,0.68,0.68,0.68,0,2,31,12
2019-12-30,0.68,0.68,0.68,0.68,0,1,30,12
2019-12-27,0.676,0.676,0.676,0.676,160,5,27,12
2019-12-26,0.68,0.68,0.68,0.68,0,4,26,12
2019-12-24,0.68,0.68,0.68,0.68,0,2,24,12
2019-12-23,0.68,0.68,0.68,0.68,0,1,23,12
2019-12-20,0.68,0.68,0.68,0.68,0,5,20,12
2019-12-19,0.68,0.68,0.68,0.68,0,4,19,12
2019-12-18,0.68,0.68,0.68,0.68,0,3,18,12
2019-12-17,0.68,0.68,0.68,0.68,0,2,17,12
2019-12-16,0.68,0.68,0.68,0.68,0,1,16,12
2019-12-13,0.6776,0.69,0.6776,0.6811,25500,5,13,12
2019-12-12,0.66,0.66,0.66,0.66,0,4,12,12
2019-12-11,0.66,0.66,0.66,0.66,0,3,11,12
2019-12-10,0.66,0.66,0.66,0.66,0,2,10,12
2019-12-09,0.66,0.66,0.66,0.66,0,1,9,12
2019-12-06,0.66,0.66,0.66,0.66,0,5,6,12
2019-12-05,0.66,0.66,0.66,0.66,0,4,5,12
2019-12-04,0.66,0.66,0.66,0.66,0,3,4,12
2019-12-03,0.656,0.656,0.656,0.656,10133,2,3,12
2019-12-02,0.71,0.71,0.71,0.71,0,1,2,12
2019-11-29,0.71,0.71,0.71,0.71,0,5,29,11
2019-11-27,0.71,0.71,0.71,0.71,0,3,27,11
2019-11-26,0.71,0.71,0.71,0.71,0,2,26,11
2019-11-25,0.71,0.71,0.71,0.71,0,1,25,11
2019-11-22,0.71,0.71,0.71,0.71,0,5,22,11
2019-11-21,0.71,0.71,0.71,0.71,0,4,21,11
2019-11-20,0.71,0.71,0.71,0.71,0,3,20,11
2019-11-19,0.71,0.71,0.71,0.71,0,2,19,11
2019-11-18,0.71,0.71,0.71,0.71,0,1,18,11
2019-11-15,0.71,0.71,0.71,0.71,0,5,15,11
2019-11-14,0.71,0.71,0.71,0.71,0,4,14,11
2019-11-13,0.71,0.71,0.71,0.71,0,3,13,11
2019-11-12,0.71,0.71,0.71,0.71,0,2,12,11
2019-11-11,0.71,0.71,0.71,0.71,0,1,11,11
2019-11-08,0.71,0.71,0.71,0.71,0,5,8,11
2019-11-07,0.71,0.71,0.71,0.71,0,4,7,11
2019-11-06,0.71,0.71,0.71,0.71,0,3,6,11
2019-11-05,0.71,0.71,0.71,0.71,0,2,5,11
2019-11-04,0.71,0.71,0.71,0.71,0,1,4,11
2019-11-01,0.71,0.71,0.71,0.71,0,5,1,11
2019-10-31,0.71,0.71,0.71,0.71,0,4,31,10
2019-10-30,0.71,0.71,0.71,0.71,0,3,30,10
2019-10-29,0.71,0.71,0.71,0.71,0,2,29,10
2019-10-28,0.7,0.705,0.7,0.705,31500,1,28,10
2019-10-25,0.69,0.69,0.69,0.69,0,5,25,10
2019-10-24,0.69,0.69,0.69,0.69,0,4,24,10
2019-10-23,0.69,0.69,0.69,0.69,0,3,23,10
2019-10-22,0.69,0.69,0.69,0.69,0,2,22,10
2019-10-21,0.69,0.69,0.69,0.69,0,1,21,10
2019-10-18,0.69,0.69,0.69,0.69,0,5,18,10
2019-10-17,0.69,0.69,0.69,0.69,0,4,17,10
2019-10-16,0.69,0.69,0.69,0.69,0,3,16,10
2019-10-15,0.69,0.69,0.69,0.69,0,2,15,10
2019-10-14,0.69,0.69,0.69,0.69,0,1,14,10
2019-10-11,0.69,0.69,0.69,0.69,0,5,11,10
2019-10-10,0.69,0.69,0.69,0.69,0,4,10,10
2019-10-09,0.69,0.69,0.69,0.69,0,3,9,10
